SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
T5747,Ch,-13.3494,-69.308,52.6731,-13.69880987,-68.48668699,54.38614441
T5747,Prn,15.086,-38.7029,83.0854,15.086,-38.7029,83.0854
U1356,Ft,-46.3329,116.273,-15.9497,-47.37101108,116.8500918,-15.34896588
U1356,Ex,-25.8852,95.5473,6.36578,-24.99235477,94.72974694,7.419364611
U1356,En,2.11549,94.7238,14.2266,1.883226145,94.46969455,15.1505558
U1356,Al,1.64967,58.7159,20.1199,1.741976406,57.25771234,19.29985098
U1356,Sbal,9.38418,55.6913,25.2572,8.60529224,55.15429632,24.76911594
U1356,Ch,-1.96387,34.3808,12.0907,-1.555042904,34.2992353,11.57819961
U1356,Prn,20.4567,62.5328,46.0504,20.4567,62.5328,46.0504
V8640,Ft,-45.5984,36.9409,99.9228,-44.86741609,38.274916,99.79224043
V8640,Ex,-35.1026,9.98625,104.523,-34.53897453,8.834738331,103.1210867
V8640,En,-5.15304,8.59955,114.393,-6.149388035,8.379435732,114.76375
V8640,Al,-8.32098,-28.2474,118.134,-7.777968692,-29.38097028,117.4482163
V8640,Sbal,-1.87525,-34.0331,126.161,-0.762321291,-33.18634398,125.7215369
V8640,Ch,-15.0258,-57.9888,112.264,-14.75822335,-59.62935808,110.6414884
V8640,Prn,8.69834,-26.421,145.092,8.69834,-26.421,145.092
W7179,Ft,-74.0628,79.5987,-58.5721,-75.18669139,80.48543695,-58.34680204
W7179,Ex,-52.8145,55.7251,-27.5416,-52.1886207,53.33013031,-27.70977086
W7179,En,-22.5892,52.0647,-17.9625,-22.36143065,52.51940904,-19.23665332
W7179,Al,-25.1754,17.8934,-11.0947,-26.06587902,18.08884502,-11.80085391
W7179,Sbal,-18.7049,9.95025,-5.72352,-18.29886953,8.10715924,-5.074044525
W7179,Ch,-30.3437,-11.7259,-18.7458,-31.10373588,-10.82984362,-19.86411433
W7179,Prn,-7.9106,17.8827,15.5861,-7.9106,17.8827,15.5861
X3759,Ft,-69.9515,52.3188,-14.002,-70.55712061,54.24505671,-14.00270087
X3759,Ex,-55.9045,27.5015,1.66593,-55.11523533,27.62804104,0.783513197
X3759,En,-26.9149,24.6669,6.18649,-26.34576081,25.87995523,6.041220602
X3759,Al,-27.049,-17.193,7.91635,-26.71774932,-16.94807525,5.891631741
X3759,Sbal,-21.8897,-19.6722,13.5933,-23.5122807,-19.13769655,13.70010544
X3759,Ch,-37.2159,-46.655,-3.22836,-36.31533437,-46.86321665,-0.71705245
